timestamp,vrms,irms,pactive_w,preactive_var,papparent_va,pf,freq_hz,master_relay,master_fault,a1_valid,a1_pir,a1_night,a1_tilt,a1_relay,a1_bypass,a1_fault,a1_rssi,a1_inaI,a1_inaP_w,a1_savW,a1_cost_rs,a2_valid,a2_pir,a2_night,a2_tilt,a2_relay,a2_bypass,a2_fault,a2_rssi,a2_age_s
2026-04-02T00:00:00,230.91,0.705,159.54,32.72,162.86,0.98,49.88,1,0,1,0,1,0,1,0,0,-69,0.0419,0.2,1.21,0.0,1,1,1,0,1,0,0,-81,0
2026-04-02T00:01:00,230.76,0.451,101.67,22.03,104.03,0.977,50.02,1,0,1,0,1,0,1,0,0,-68,0.0435,0.2,1.21,0.0,1,0,1,0,1,0,0,-84,0
2026-04-02T00:02:00,231.32,0.637,144.41,29.59,147.41,0.98,49.91,1,0,1,0,1,0,1,0,0,-66,0.0423,0.2,1.21,0.0,1,0,1,0,1,0,0,-86,1
2026-04-02T00:03:00,231.71,0.45,102.05,21.01,104.19,0.979,49.98,1,0,1,0,1,0,1,0,0,-71,0.0414,0.21,1.2,0.001,1,0,1,0,1,0,0,-76,1
2026-04-02T00:04:00,231.43,0.72,162.81,35.38,166.61,0.977,49.89,1,0,1,0,1,0,1,0,0,-69,0.0409,0.2,1.21,0.001,1,0,1,0,1,0,0,-83,1
2026-04-02T00:05:00,230.4,0.453,101.64,23.23,104.26,0.975,49.86,1,0,1,0,1,0,1,0,0,-68,0.0414,0.2,1.21,0.001,1,0,1,0,1,0,0,-86,0
2026-04-02T00:06:00,230.95,0.498,111.49,28.6,115.1,0.969,50.0,1,0,1,0,1,0,1,0,0,-64,0.0405,0.2,1.21,0.001,1,0,1,0,1,0,0,-80,1
2026-04-02T00:07:00,231.61,1.11,248.74,65.23,257.15,0.967,50.0,1,0,1,0,1,0,1,0,0,-66,0.0421,0.21,1.2,0.001,1,0,1,0,1,0,0,-69,0
2026-04-02T00:08:00,230.49,0.623,137.88,39.91,143.54,0.961,49.94,1,0,1,0,1,0,1,0,0,-60,0.0408,0.2,1.21,0.001,1,0,1,0,1,0,0,-68,1
2026-04-02T00:09:00,229.2,0.707,155.84,44.1,161.96,0.962,49.96,1,0,1,1,1,0,1,0,0,-68,0.2803,1.41,0,0.001,1,0,1,0,1,0,0,-68,0
2026-04-02T00:10:00,229.76,0.536,118.53,33.6,123.2,0.962,50.0,1,0,1,1,1,0,1,0,0,-59,0.2819,1.41,0,0.001,1,0,1,0,1,0,0,-79,0
2026-04-02T00:11:00,231.44,0.579,128.83,37.08,134.06,0.961,50.0,1,0,1,1,1,0,1,0,0,-64,0.2825,1.38,0.03,0.001,1,0,1,0,1,0,0,-83,1
2026-04-02T00:12:00,232.92,0.523,117.18,33.67,121.92,0.961,49.88,1,0,1,0,1,0,1,0,0,-58,0.0407,0.2,1.21,0.002,1,0,1,0,1,0,0,-72,1
2026-04-02T00:13:00,230.58,0.77,170.7,48.84,177.55,0.961,50.06,1,0,1,1,1,0,1,0,0,-59,0.286,1.42,0,0.002,1,1,1,0,1,0,0,-78,0
2026-04-02T00:14:00,230.16,0.617,136.4,39.59,142.03,0.96,49.84,1,0,1,0,1,0,1,0,0,-71,0.0399,0.2,1.21,0.002,1,0,1,0,1,0,0,-85,1
2026-04-02T00:15:00,231.34,0.562,124.58,37.36,130.06,0.958,49.91,1,0,1,0,1,0,1,0,0,-69,0.0442,0.21,1.2,0.002,1,0,1,0,1,0,0,-82,1
2026-04-02T00:16:00,229.59,0.671,148.34,41.66,154.08,0.963,50.07,1,0,1,1,1,0,1,0,0,-72,0.283,1.4,0.01,0.002,1,1,1,0,1,0,0,-86,0
2026-04-02T00:17:00,231.37,0.748,167.08,45.06,173.05,0.965,50.03,1,0,1,1,1,0,1,0,0,-66,0.2845,1.41,0,0.002,1,0,1,0,1,0,0,-66,1
2026-04-02T00:18:00,232.23,0.561,125.26,36.18,130.38,0.961,49.97,1,0,1,1,1,0,1,0,0,-70,0.2859,1.42,0,0.002,1,0,1,0,1,0,0,-87,0
2026-04-02T00:19:00,232.66,0.724,160.74,50.04,168.35,0.955,50.11,1,0,1,0,1,0,1,0,0,-62,0.0388,0.2,1.21,0.002,1,1,1,0,1,0,0,-70,1
2026-04-02T00:20:00,231.09,0.492,108.09,35.05,113.63,0.951,50.07,1,0,1,0,1,0,1,0,0,-65,0.0407,0.21,1.2,0.002,1,1,1,0,1,0,0,-69,0
2026-04-02T00:21:00,231.05,0.947,209.22,64.38,218.9,0.956,49.89,1,0,1,1,1,0,1,0,0,-63,0.281,1.42,0,0.002,1,1,1,0,1,0,0,-68,0
2026-04-02T00:22:00,231.58,0.571,126.57,38.13,132.19,0.957,49.96,1,0,1,0,1,0,1,0,0,-69,0.0437,0.2,1.21,0.002,1,0,1,0,1,0,0,-66,1
2026-04-02T00:23:00,231.17,0.773,171.96,48.62,178.7,0.962,49.91,1,0,1,1,1,0,1,0,0,-60,0.2848,1.42,0,0.002,1,0,1,1,1,0,0,-84,1
2026-04-02T00:24:00,230.98,0.415,92.76,24.14,95.85,0.968,50.12,1,0,1,1,1,0,1,0,0,-64,0.2816,1.4,0.01,0.002,1,0,1,0,1,0,0,-84,1
2026-04-02T00:25:00,232.42,0.441,99.7,24.18,102.59,0.972,49.87,1,0,1,1,1,0,1,0,0,-58,0.2828,1.42,0,0.002,1,0,1,0,1,0,0,-75,0
